,time,Chest-Zrotation,Chest-Xrotation,Chest-Yrotation,Neck-Zrotation,Neck-Xrotation,Neck-Yrotation,Head-Zrotation,Head-Xrotation,Head-Yrotation,LeftCollar-Zrotation,LeftCollar-Xrotation,LeftCollar-Yrotation,LeftUpArm-Zrotation,LeftUpArm-Xrotation,LeftUpArm-Yrotation,LeftLowArm-Zrotation,LeftLowArm-Xrotation,LeftLowArm-Yrotation,LeftHand-Zrotation,LeftHand-Xrotation,LeftHand-Yrotation,RightCollar-Zrotation,RightCollar-Xrotation,RightCollar-Yrotation,RightUpArm-Zrotation,RightUpArm-Xrotation,RightUpArm-Yrotation,RightLowArm-Zrotation,RightLowArm-Xrotation,RightLowArm-Yrotation,RightHand-Zrotation,RightHand-Xrotation,RightHand-Yrotation,LeftUpLeg-Zrotation,LeftUpLeg-Xrotation,LeftUpLeg-Yrotation,LeftLowLeg-Zrotation,LeftLowLeg-Xrotation,LeftLowLeg-Yrotation,LeftFoot-Zrotation,LeftFoot-Xrotation,LeftFoot-Yrotation,RightUpLeg-Zrotation,RightUpLeg-Xrotation,RightUpLeg-Yrotation,RightLowLeg-Zrotation,RightLowLeg-Xrotation,RightLowLeg-Yrotation,RightFoot-Zrotation,RightFoot-Xrotation,RightFoot-Yrotation
0,0.0,0.033333,8.03,35.01,88.36,-3.41,14.78,-164.35,13.09,40.3,-24.6,7.88,43.8,0.0,-3.61,-41.45,5.82,10.08,0.0,10.21,97.95,-23.53,-2.14,-101.86,-80.77,-98.91,0.69,0.03,0.0,-14.04,0.0,-10.5,-85.52,-13.72,-102.93,61.91,-61.18,65.18,-1.57,0.69,0.02,15.0,22.78,-5.92,14.93,49.99,6.6,0.0,-1.14,0.0,-16.58,-10.51
1,0.033333,-3.11,15.38,52.66,-21.8,0.0,-23.95,0.0,7.81,35.1,86.47,-3.78,12.94,-166.97,12.64,42.57,-22.34,7.67,43.61,0.0,-4.23,-41.41,4.89,19.1,0.0,4.16,93.12,-9.69,-9.43,132.67,-81.86,136.8,0.7,0.37,0.0,-8.62,0.0,-21.82,-87.31,-27.57,-100.09,56.17,-61.56,58.72,-1.63,0.95,0.03,13.16,15.44,-3.56,7.97,59.29
